"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","county_clean","year","emissions_mtco2e"
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants","WAYNE",2019,2649902.098
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants","WAYNE",2020,2312716.414
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants","WAYNE",2021,2380026.564
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants","WAYNE",2022,2827748.238
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants","WAYNE",2023,2637535.22
1000787,"110000346386","Roxboro Steam Electric Plant","SEMORA","NC","27343","1700 DUNNAWAY ROAD","Person",36.4833,-79.0731,221112,"D,TT","Power Plants,Waste","PERSON",2019,6812057.656
1000787,"110000346386","Roxboro Steam Electric Plant","SEMORA","NC","27343","1700 DUNNAWAY ROAD","Person",36.4833,-79.0731,221112,"D,TT","Power Plants,Waste","PERSON",2020,5198616.712
1000787,"110000346386","Roxboro Steam Electric Plant","SEMORA","NC","27343","1700 DUNNAWAY ROAD","Person",36.4833,-79.0731,221112,"D,TT","Power Plants,Waste","PERSON",2021,5419466.674
1000787,"110000346386","Roxboro Steam Electric Plant","SEMORA","NC","27343","1700 DUNNAWAY ROAD","Person",36.4833,-79.0731,221112,"D,TT","Power Plants,Waste","PERSON",2022,5406815.36
1000787,"110000346386","Roxboro Steam Electric Plant","SEMORA","NC","27343","1700 DUNNAWAY ROAD","Person",36.4833,-79.0731,221112,"D,TT","Power Plants,Waste","PERSON",2023,4122411.542
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants","NEW HANOVER",2019,1793301.604
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants","NEW HANOVER",2020,1570654.478
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants","NEW HANOVER",2021,1601151.912
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants","NEW HANOVER",2022,1500313.858
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants","NEW HANOVER",2023,1495648.708
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants","GASTON",2019,968124.032
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants","GASTON",2020,535362.742
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants","GASTON",2021,200401.368
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants","GASTON",2022,300842.644
1000830,"110000348008","G G Allen","BELMONT","NC","28012","253 PLANT ALLEN RD.","Gaston",35.1897,-81.0122,221112,"C,D","Power Plants","GASTON",2023,141042.74
1000831,"110001978334","Buck","SALISBURY","NC","28145","1555 DUKEVILLE RD","Rowan",35.7133,-80.3767,221112,"C,D","Power Plants","ROWAN",2019,1656473.312
1000831,"110001978334","Buck","SALISBURY","NC","28145","1555 DUKEVILLE RD","Rowan",35.7133,-80.3767,221112,"C,D","Power Plants","ROWAN",2020,1472875.574
1000831,"110001978334","Buck","SALISBURY","NC","28145","1555 DUKEVILLE RD","Rowan",35.7133,-80.3767,221112,"C,D","Power Plants","ROWAN",2021,1762785.02
1000831,"110001978334","Buck","SALISBURY","NC","28145","1555 DUKEVILLE RD","Rowan",35.7133,-80.3767,221112,"C,D","Power Plants","ROWAN",2022,1939412.97
1000831,"110001978334","Buck","SALISBURY","NC","28145","1555 DUKEVILLE RD","Rowan",35.7133,-80.3767,221112,"C,D","Power Plants","ROWAN",2023,1570968.456
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants","CLEVELAND",2019,5253472.242
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants","CLEVELAND",2020,4201415.576
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants","CLEVELAND",2021,3329380.932
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants","CLEVELAND",2022,3071804.156
1000832,"110071160891","Cliffside","CLIFFSIDE","NC","28024","DUKE POWER RD #1002","Cleveland",35.22,-81.7594,221112,"C,D","Power Plants","CLEVELAND",2023,3711093.676
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants","ROCKINGHAM",2019,1709972.264
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants","ROCKINGHAM",2020,1740005.152
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants","ROCKINGHAM",2021,1620602.396
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants","ROCKINGHAM",2022,1599550.72
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants","ROCKINGHAM",2023,1470088.604
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants","CATAWBA",2019,7394203.558
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants","CATAWBA",2020,5592487.534
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants","CATAWBA",2021,5729907.536
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants","CATAWBA",2022,5272927.738
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants","CATAWBA",2023,5154520.468
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants","PERSON",2019,1770749.812
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants","PERSON",2020,813227.742
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants","PERSON",2021,1546362.276
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants","PERSON",2022,1377810.508
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants","PERSON",2023,1369520.38
1001073,"110071162468","R. J. REYNOLDS TOBACCO CO. WHITAKER PARK","WINSTON SALEM","NC","27105","4040 REYNOLDS COURT","FORSYTH COUNTY",36.134274,-80.257781,312230,"C","Other","FORSYTH",2019,38414.954
1001073,"110071162468","R. J. REYNOLDS TOBACCO CO. WHITAKER PARK","WINSTON SALEM","NC","27105","4040 REYNOLDS COURT","FORSYTH COUNTY",36.134274,-80.257781,312230,"C","Other","FORSYTH",2020,39257.452
