"Facility Id","FRS Id","Facility Name","City","State","Zip Code","Address","County","Latitude","Longitude","Primary NAICS Code","Latest Reported Industry Type (subparts)","Latest Reported Industry Type (sectors)","2023 Total reported direct emissions","2022 Total reported direct emissions","2021 Total reported direct emissions","2020 Total reported direct emissions","2019 Total reported direct emissions","2018 Total reported direct emissions","2017 Total reported direct emissions","2016 Total reported direct emissions","2015 Total reported direct emissions","2014 Total reported direct emissions","2013 Total reported direct emissions","2012 Total reported direct emissions","2011 Total reported direct emissions"
1003035,"110043802597","Coastal Regional Solid Waste Management Authority","New Bern","NC","28562","7400 Old US 70 West","CRAVEN COUNTY",34.943667,-76.948346,562212,"HH","Waste",138924.75,129028,121381,137036,139443.25,125127.25,103166.25,86126.5,81776.5,90223.5,91139.25,87352.75,86144
1007732,"110001482949","Craven County Wood Energy","New Bern","NC","28562","201 Executive Parkway","CRAVEN COUNTY",35.1285,-77.17,221117,"D","Power Plants",7362.986,7071.864,7283.54,4546.564,6639.414,6680.1,7268.34,6642.54,6614.2,6551.88,6637.736,10986.976,10262.704
1002099,"110008647893","DAK AMERICAS LLC","LELAND","NC","28451","3500 DANIELS ROAD NORTHEAST","BRUNSWICK",34.322316,-78.039566,325222,"C","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,177923.37,215573.582,296688.514
1003297,"110038493298","DUKE UNIVERSITY","DURHAM","NC","27710","131 RESEARCH DR","DURHAM COUNTY",36.008498,-78.942578,611310,"C","Other",91985.848,98023.22,83859.432,88885.512,88263.916,89000.714,82815.886,81529.644,82461.94,87158.4,88677.564,55267.736,91821.66
1000833,"110070081773","Dan River","EDEN","NC","27288","900 S EDGEWOOD RD","Rockingham",36.4862,-79.7208,221112,"C,D","Power Plants",1470088.604,1599550.72,1620602.396,1740005.152,1709972.264,1925980.312,1876249.496,1838464.736,1757416.088,1467109.764,1534333.07,39629.08,293545.024
1007571,"110000349748","Darling In, Ingredients - Fayetteville","Fayetteville","NC","28301","1309 Industrial Drive","CUMBERLAND COUNTY",35.03104,-78.86301,311613,"C","Other",68800.84,68938.54,69856.636,65672.252,66785.246,67927.222,63437.458,62998.31,56585.68,52488.632,52077.142,51849.914,47078.018
1006213,"110070834613","Darling Ingredients, Inc. - Rose Hill","Rose Hill","NC","28458","469 Yellow Cut Rd.","DUPLIN COUNTY",34.838207,-78.035053,311613,"C","Other",40201.248,42245.64,42167.392,42176.886,31982.628,30451.462,33178.78,32073.32,31726.004,27539.176,33182.42,33569.962,33231.768
1002637,"110008055674","Darling Ingredients, Inc. - Wadesboro","Wadesboro","NC","28170","656 Little Duncan Rd.","ANSON COUNTY",35.03532,-80.082805,311613,"C","Other",31399.632,29994.088,29454.588,31692.38,30094.236,28834.792,25704.652,26844.048,28155.14,29702.888,26490.488,25457.152,NA
1004204,"110043787015","Davidson County Integrated Solid Waste Management Dept.","Thomasville","NC","27360","1242 Old Highway 29","DAVIDSON COUNTY",35.85308,-80.17695,562212,"HH","Waste",73681.25,68374.25,62937.75,63312.5,54579,55004.5,51918.25,49153,49733.25,45940.5,40024.5,35818.25,47513.25
1000229,"110071161106","Domtar Paper Company LLC - Plymouth","PLYMOUTH","NC","27962","NC HWY 149 N","Martin",35.8628,-76.7831,322110,"AA,C,TT","Pulp and Paper,Waste",195444.684,162656.388,170369.864,103113.146,176119.524,166449.832,118954.838,116289.324,102138.648,118776.412,100658.84,142978.974,138286.616
1000392,"110000348954","Durafiber Technologies","SALISBURY","NC","28147","7401 STATESVILLE BOULEVARD","ROWAN COUNTY",35.7133,-80.6122,325222,"C","Other",NA,NA,NA,NA,NA,NA,NA,37845.508,41477.144,32383.228,26235.95,30237.13,33232.53
1003101,"110060467926","EAST CAROLINA REGIONAL LANDFILL","AULANDER","NC","27805","1922 REPUBLICAN ROAD","BERTIE COUNTY",36.11558,-77.07097,562212,"HH","Waste",92680,95345,105511,103264.75,105594.5,104686.25,99714.5,163927.5,117295.25,134920,101352.5,111785,170326
1000554,"110013975706","EDGECOMBE COUNTY LANDFILL","TARBORO","NC","27886","2861 COLONIAL ROAD","EDGECOMBE",35.914656,-77.583985,562212,"C,HH","Waste",NA,NA,NA,NA,NA,NA,NA,NA,NA,12782.932,8185.25,24583.5,22236.25
1014336,"110070386075","EGGER Wood Products, LLC","Linwood","NC","27299","300 Egger Parkway","DAVIDSON COUNTY",35.740731,-80.343295,321219,"C","Other",45139.988,45787.164,34004.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
