"facility_id","frs_id","facility_name","city","state","zip_code","address","county_raw","latitude","longitude","naics_code","industry_subparts","industry_sectors","emissions_2023","emissions_2022","emissions_2021","emissions_2020","emissions_2019","county_clean"
1013276,"110071162203","Granges Americas Inc.- SRM","Salisbury","NC","28145","1709 Jake Alexander BLVD","ROWAN COUNTY",35.682317,-80.507236,331315,"C","Metals",16960.236,19038.528,26474.9,17261.836,23783.66,"ROWAN"
1013633,"110069995406","Great Oak Landfill","Randleman","NC","27317","3597 Old Cedar Falls Road","RANDOLPH COUNTY",35.744148,-79.741612,562212,"C,HH","Waste",65194.3,40137.05,194878.3,70740.5,44656.75,"RANDOLPH"
1000786,"110000496552","H F Lee Steam Electric Plant","GOLDSBORO","NC","27530","1199 Black Jack Church Rd","Wayne",35.3775,-78.0875,221112,"C,D","Power Plants",2637535.22,2827748.238,2380026.564,2312716.414,2649902.098,"WAYNE"
1003137,"110007123184","HANES MILL ROAD LANDFILL","WINSTON-SALEM","NC","27102","325 WEST HANES MILL ROAD","FORSYTH COUNTY",36.189037,-80.287502,562212,"HH","Waste",32616.75,39407.25,40461.75,55173.75,54986,"FORSYTH"
1001876,"110070157588","HEADQUARTERS XVIII ABN CORPS AND FORT LIBERTY","Fort Liberty","NC","28310","2175 Rock Merritt Avenue","CUMBERLAND COUNTY",35.152115,-78.998907,928110,"C","Other",74795.994,67823.67,66439.764,62440.036,65154.916,"CUMBERLAND"
1005993,"110014008509","HENDERSON COUNTY LANDFILL/TS SINCE 1997","HENDERSONVILLE","NC","28791","802 STONEY MOUNTAIN RD","HENDERSON",35.3515,-82.49791,562212,"HH","Waste",NA,NA,NA,NA,NA,"HENDERSON"
1006514,"110009717164","IREDELL CO-TWINS OAKS RD;3260","STATESVILLE","NC","28625","354 TWINS OAKS ROAD","IREDELL COUNTY",35.77227,-80.82308,562212,"C,HH","Waste",133232.644,106417.516,96367.06,154251.56,87658.8,"IREDELL"
1012516,"110000861032","Ingredion Incorporated","Winton Salem","NC","27107","4501 Overdale Road","FORSYTH COUNTY",36.032491,-80.228696,311221,"C","Other",26386.918,23494.91,32334.294,21123.01,34070.426,"FORSYTH"
1010114,"110013349563","International Paper - Canton Landfill 5B/5C","Canton","NC","28716",NA,"HAYWOOD COUNTY",35.552899,-82.832451,562212,"TT","Waste",NA,NA,NA,NA,21181.75,"HAYWOOD"
1000228,"110000350478","International Paper - New Bern Mill","Vanceboro","NC","28586","1785 Weyerhaeuser Road","Craven",35.2081,-77.1242,322110,"AA,C,TT","Pulp and Paper,Waste",114519.266,100748.704,93987.324,97271.516,100442.642,"CRAVEN"
1011267,"110070082124","International Paper - Roanoke Rapids Landfill","Roanoke Rapids","NC","27870",NA,"HALIFAX COUNTY",36.462894,-77.636997,562212,"TT","Waste",NA,NA,NA,NA,NA,"HALIFAX"
1007226,"110009719304","International Paper-Riegelwood","RIEGELWOOD","NC","28456","865 JOHN L RIEGEL ROAD","Columbus",34.3528,-78.2028,322110,"AA,C,TT","Pulp and Paper,Waste",301786.16,316907.462,325787.898,302060.936,277427.502,"COLUMBUS"
1004252,"110041518033","JOHNSTON COUNTY MSW LANDFILL","SMITHFIELD","NC","27577","680 COUNTY HOME ROAD","JOHNSTON COUNTY",35.511016,-78.429316,562212,"HH","Waste",98907.25,99816.5,104223.25,101520.5,75290.75,"JOHNSTON"
1000365,"110064780349","Kersey Valley MSW Landfill","High Point","NC","27261","3940 E. Kivett Drive","GUILFORD COUNTY",35.9556,-79.9256,562212,"HH","Waste",106752.75,104607.25,102389.5,98375.75,94134,"GUILFORD"
1013259,"110064432449","Kings Mountain Energy Center","Kings Mountain","NC","28086","181 Gage Road","CLEVELAND COUNTY",35.201313,-81.365446,221112,"C,D","Power Plants",1237626.064,1147381.848,1065899.5,1067747.044,1091988.504,"CLEVELAND"
1000828,"110000350174","L V Sutton Steam Electric Plant","WILMINGTON","NC","28401","801 SUTTON STEAM PLANT ROAD","New Hanover",34.2824,-77.9864,221112,"C,D","Power Plants",1495648.708,1500313.858,1601151.912,1570654.478,1793301.604,"NEW HANOVER"
1005461,"110014008536","LINCOLN COUNTY LANDFILL","CROUSE","NC","28033","5291 CROUSE RD","LINCOLN COUNTY",35.43049,-81.35386,562212,"HH","Waste",48874,48590,47622,46836.5,46223.75,"LINCOLN"
1005026,"110034163946","Lenoir County Landfill","LaGrange","NC","28551","2949 Hodges Farm Road","LENOIR COUNTY",35.29357,-77.71334,562212,"HH","Waste",21403.25,22658.75,23987.75,25395,26884.5,"LENOIR"
1001109,"110001495347","Lincoln","STANLEY","NC","28164","6769 OLD PLANK ROAD","Lincoln",35.4317,-81.0347,221112,"D","Power Plants",19532.298,123554.554,224976.31,34665.348,23284.654,"LINCOLN"
1001212,"110007015050","Lumberton Power","LUMBERTON","NC","28359","1866 HESTERTOWN ROAD","Robeson",34.59,-78.9968,221112,"D","Power Plants",NA,NA,NA,NA,NA,"ROBESON"
1006239,"110000346000","MILLERCOORS LLC - EDEN BREWERY","EDEN","NC","27288","863 E. MEADOW RD.","ROCKINGHAM COUNTY",36.51511,-79.71582,312120,"C","Other",NA,NA,NA,NA,NA,"ROCKINGHAM"
1000834,"110071160892","Marshall","TERRELL","NC","28682","8320 EAST HWY 150","Catawba",35.5975,-80.9658,221112,"C,D","Power Plants",5154520.468,5272927.738,5729907.536,5592487.534,7394203.558,"CATAWBA"
1001049,"110057382666","Mayo Electric Generating Plant","ROXBORO","NC","27574","10660 BOSTON ROAD","Person",36.5278,-78.8917,221112,"D","Power Plants",1369520.38,1377810.508,1546362.276,813227.742,1770749.812,"PERSON"
1000459,"110020901194","NCEMC Anson Plant","LILESVILLE","NC","28091","749 BLEWETT FALLS ROAD","Anson",34.9708,-79.9208,221112,"C,D","Power Plants",52913.716,206629.062,63981.556,49776.816,57206.43,"ANSON"
1000462,"110022483258","NCEMC Hamlet Plant","HAMLET","NC","28345","162 COOPERATIVE WAY","Richmond",34.8422,-79.7367,221112,"C,D","Power Plants",43516.374,108951.316,63748.964,33857.426,54935.542,"RICHMOND"
1005699,"110064315584","NCSU CENTRAL HEAT PLANT","RALEIGH","NC","27695","2815 CATES AVENUE","WAKE COUNTY",35.78658,-78.68103,611310,"C","Other",112758.352,115668.914,111728.728,99958.122,106751.426,"WAKE"
1006119,"110018631248","NEW HANOVER COUNTY SECURE LANDFILL","WILMINGTON","NC","28401","5210 U S HIGHWAY 421 NORTH","NEW HANOVER COUNTY",34.32188,-77.99312,562212,"HH","Waste",47522.5,46883,67967.25,17506.25,50644.5,"NEW HANOVER"
1000391,"110010283978","NEW HANOVER COUNTY WASTEC","WILMINGTON","NC","28401","3002 HIGHWAY 421 NORTH","NEW HANOVER",34.281966,-77.95905,562213,"C","Waste",NA,NA,NA,NA,NA,"NEW HANOVER"
